bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,74700482911739143749875218162911993983635953901335223380393411707497048957120,False,0.0,1126,1773332122,1773669623,0.0005,0.1785
1,40-64,40,64,25847819252713719023263191728891199862549218839828425493609542400359985933211,True,1.0,1188,1773332123,1773688526,0.095,0.9995
2,65-89,65,89,31286698013455014590813452759690584141742898845641526961188678689724182810386,False,0.0,1186,1773332133,1773688827,0.0005,0.445
3,90-114,90,114,2866603242941428440118483512325900803028836028631200250338875823965201986508,False,0.0,1161,1773332133,1773688536,0.0005,0.38
4,115-139,115,139,54877860323306684152760359173845409165437999210527694436146020092967038425258,False,0.0,1185,1773332132,1773688529,0.0005,0.22
5,140-164,140,164,29522306216465760314612786805020815816672950846387319444879918203174306299518,False,0.0,1185,1773332132,1773688529,0.0005,0.13
6,165-189,165,189,27007513360871243745545471229407340335557945323693497651045525149955448513037,False,0.0,1186,1773332121,1773688531,0.0005,0.079
7,190-214,190,214,64841291854504168425656324024145762539979425523794185319852173142082703179886,False,0.0,1188,1773332124,1773688526,0.0005,0.045
8,215-239,215,239,42157684061634619661235657768264399401101276141050845165554224510240172776716,False,0.0,1154,1773332135,1773688536,0.0005,0.02
9,240+,240,999999,1219449373723541342703555512977278439989158458558729207516649009847450393953,False,0.0,1185,1773332132,1773688529,0.0005,0.02
