bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,105992139902073934994234280377718442481172663214335979034067532924971021698548,False,0.0,1039,1769448015,1769759714,0.0005,0.04
1,40-64,40,64,114147856503698109971764660079132039478750439275230107368242866039993570014359,False,0.0,1178,1769448019,1769801421,0.0005,0.0995
2,65-89,65,89,18626250480957427541574388200483472928439005276569179350171995268549998703825,False,0.0,1255,1769448615,1769825416,0.0005,0.35
3,90-114,90,114,62216225852287720455891529723887717061986528549693779231599532293685455763860,False,0.0,1446,1769448621,1769883018,0.0005,0.595
4,115-139,115,139,38437989914957104520238678101364566692392319215712509368518907630584692823075,True,1.0,1476,1769448625,1769894421,0.165,0.9995
5,140-164,140,164,40618583342337204392155102732119900586929000792164515399480198085975985013972,False,0.0,1480,1769448623,1769894420,0.0005,0.58
6,165-189,165,189,69373468099969670579932220541936256411949186436860693699029111946848459149066,False,0.0,1481,1769448622,1769894124,0.0005,0.535
7,190-214,190,214,68974077978504763988583903166708093204328268385409715444266645019280513131292,False,0.0,1478,1769448622,1769893245,0.0005,0.47
8,215-239,215,239,49089332224660577552327565203349882389915517753017356631331727536835191535444,False,0.0,1481,1769448316,1769892929,0.0005,0.065
9,240+,240,999999,19760140290078435719819007621285327157072586489878389609348722505416237989227,False,0.0,1477,1769448024,1769893820,0.0005,0.064
