bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,59688194951892293174124438879006655322891557860768612566200802150807549889565,False,0.0,1210,1781541904,1781906704,0.0005,0.45
1,40-64,40,64,17008133912366416395222778286066139436932650416761805770025243200411535263210,True,1.0,1455,1781541905,1781980204,0.305,0.9995
2,65-89,65,89,62375489057674977296784409497710598134737718103762491378125459801457797740039,False,0.0,1449,1781541904,1781978406,0.0005,0.555
3,90-114,90,114,93427332357858402421708364278320568976208169741926690962545217074801694535162,False,0.0,1445,1781543104,1781978406,0.0005,0.265
4,115-139,115,139,105857405964765085226429785339507035719646622321133414999498940652520643120865,False,0.0,1449,1781541905,1781978406,0.0005,0.4
5,140-164,140,164,6831798641116740337893881289721957082279663651511178809171958757385587433222,False,0.0,1448,1781542206,1781978408,0.0005,0.4
6,165-189,165,189,4564055260686236393808806051330707485182779589226709356306085438720711627551,False,0.0,1449,1781541905,1781978407,0.0005,0.4
7,190-214,190,214,73219316352443801802232641521531170404570140220514723328692062754442475983739,False,0.0,1448,1781542206,1781978407,0.0005,0.4
8,215-239,215,239,21484741388161447812054995635126576713955324772516924153056376919820188818773,False,0.0,1447,1781542505,1781978406,0.0005,0.0305
9,240+,240,999999,84121329099742208650832845322855929280309524839615279208247215689708650893157,False,0.0,1448,1781542206,1781978407,0.0005,0.4
